,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
1,Charging port connection status,"Current condition for charging plug in all charging modes telling if any plug is currently connected. The value INVALID can have reasons like e.g. no sensor, broken sensor, no value, decoding errors etc. Combines Vehicle.Body.ChargingPort.Status/.DcStatus.",Charging Port,connection state,,,vehicle.​body.​chargingPort.​combinedStatus,string,"DISCONNECTED, CONNECTED, INVALID",-,,,,"""vehicle.​body.​chargingPort.​combinedStatus"": ""Charging Port connection state"",",,"""vehicle.​body.​chargingPort.​combinedStatus"": ""Charging Port connection state"","
2,Status of charging plug (DC only),This value indicates whether the vehicle was connected to a DC charging plug at the time of data collection (CONNECTED) or not (DISCONNECTED).,Charging Port,plug (DC) state,,,vehicle.​body.​chargingPort.​dcStatus,string,"DISCONNECTED, CONNECTED, INVALID",-,,,,"""vehicle.​body.​chargingPort.​dcStatus"": ""Charging Port plug (DC) state"",",,"""vehicle.​body.​chargingPort.​dcStatus"": ""Charging Port plug (DC) state"","
3,Locking status of charging plug after charging complete,This value indicates whether the charging plug is automatically unlocked (HOSPITALITY_ACTIVE) or remains locked (HOSPITALITY_INACTIVE) after charging is completed.,Charging Port,plug post-charge lock state,,,vehicle.​body.​chargingPort.​isHospitalityActive,boolean,"HOSPITALITY_INACTIVE, HOSPITALITY_ACTIVE, INVALID",-,,,,"""vehicle.​body.​chargingPort.​isHospitalityActive"": ""Charging Port plug post-charge lock state"",",,"""vehicle.​body.​chargingPort.​isHospitalityActive"": ""Charging Port plug post-charge lock state"","
4,Charging session ID,The Field contains the value of the ISO 15118 sessionID according ASCII.,Charging Port,session ID,,,vehicle.​body.​chargingPort.​isoSessionId,string,-,-,,,,"""vehicle.​body.​chargingPort.​isoSessionId"": ""Charging Port session ID"",",,"""vehicle.​body.​chargingPort.​isoSessionId"": ""Charging Port session ID"","
5,Charging port locked state,"This signal indicates whether the charging plug is locked, unlocked, an error is send or no aciton is performed. When using this value, also see Vehicle.Body.ChargingPort.PlugStatus.",Charging Port,plug lock state,,,vehicle.​body.​chargingPort.​lockedStatus,string,"CHARGING_CABLE_NOT_LOCKED, CHARGING_CABLE_LOCKED, CHARGING_CABLE_LOCKING_ERROR_DETECTED, UNKNOWN",-,,,,"""vehicle.​body.​chargingPort.​lockedStatus"": ""Charging Port plug lock state"",",,"""vehicle.​body.​chargingPort.​lockedStatus"": ""Charging Port plug lock state"","
6,Charging port plug event ID,Unique identifier which increases each time the customer plugs in his electrified vehicle (EXCEPT if the time between unplug and plug-in is less than 90 seconds). This value should be unique for each charging session. See ElectricEngine.Charging.PlugStatus.,Charging Port,plug event ID,,,vehicle.​body.​chargingPort.​plugEventId,uint32,0 - 131068,-,,,,"""vehicle.​body.​chargingPort.​plugEventId"": ""Charging Port plug event ID"",",,"""vehicle.​body.​chargingPort.​plugEventId"": ""Charging Port plug event ID"","
7,Status of charging plug,This value indicates whether the vehicle was connected to a charging plug at the time of data collection (CONNECTED) or not (DISCONNECTED).,Charging Port,plug state,,,vehicle.​body.​chargingPort.​status,string,"CONNECTED, DISCONNECTED, INVALID, -NA-",-,,,,"""vehicle.​body.​chargingPort.​status"": ""Charging Port plug state"",",,"""vehicle.​body.​chargingPort.​status"": ""Charging Port plug state"","
8,Charging port status text,"Required alongside Vehicle.Body.ChargingPort.Status to ensure correct handling of charging sessions for G08 BEV vehicles (for details, contact DE-3-E; onboard fix expected by 2021-03)",Charging Port,state text,,,vehicle.​body.​chargingPort.​statusClearText,string,"DISCONNECTED, CONNECTED",-,,,,"""vehicle.​body.​chargingPort.​statusClearText"": ""Charging Port state text"",",,"""vehicle.​body.​chargingPort.​statusClearText"": ""Charging Port state text"","
9,Status of charging flap,This value indicates whether the charging flap is locked at the time of data collection.,Charging Port,flap lock,,,vehicle.​body.​flap.​isLocked,boolean,"FLAP_UNLOCKED, FLAP_LOCKED, INVALID",-,,,,"""vehicle.​body.​flap.​isLocked"": ""Charging Port flap lock"",",,"""vehicle.​body.​flap.​isLocked"": ""Charging Port flap lock"","
10,Locking status of the charging flap,This value indicates whether the charging flap is locked independently of the central locking at the time of data collection.,Charging Port,flap permanent lock state,,,vehicle.​body.​flap.​isPermanentlyUnlocked,boolean,"NO_ACTION, FLAP_UNLOCKED, FLAP_LOCKED, INVALID",-,,,,"""vehicle.​body.​flap.​isPermanentlyUnlocked"": ""Charging Port flap permanent lock state"",",,"""vehicle.​body.​flap.​isPermanentlyUnlocked"": ""Charging Port flap permanent lock state"","
